,track id, genre,mood/theme---action,mood/theme---adventure,mood/theme---advertising,mood/theme---background,mood/theme---ballad,mood/theme---calm,mood/theme---children,mood/theme---christmas,mood/theme---commercial,mood/theme---cool,mood/theme---corporate,mood/theme---dark,mood/theme---deep,mood/theme---documentary,mood/theme---drama,mood/theme---dramatic,mood/theme---dream,mood/theme---emotional,mood/theme---energetic,mood/theme---epic,mood/theme---fast,mood/theme---film,mood/theme---fun,mood/theme---funny,mood/theme---game,mood/theme---groovy,mood/theme---happy,mood/theme---heavy,mood/theme---holiday,mood/theme---hopeful,mood/theme---inspiring,mood/theme---love,mood/theme---meditative,mood/theme---melancholic,mood/theme---melodic,mood/theme---motivational,mood/theme---movie,mood/theme---nature,mood/theme---party,mood/theme---positive,mood/theme---powerful,mood/theme---relaxing,mood/theme---retro,mood/theme---romantic,mood/theme---sad,mood/theme---sexy,mood/theme---slow,mood/theme---soft,mood/theme---soundscape,mood/theme---space,mood/theme---sport,mood/theme---summer,mood/theme---trailer,mood/theme---travel,mood/theme---upbeat,mood/theme---uplifting
0,11,classical,0.005602373,0.015176067,0.0083465455,0.01833271,0.012663298,0.010353529,0.0033259192,0.029168231,0.0032031185,0.00512831,0.0039540683,0.02805234,0.0013418844,0.017957648,0.020018136,0.011519138,0.029246062,0.05170357,0.018653167,0.023324283,0.0006896809,0.06630402,0.00400578,0.00077945815,0.005172509,0.0011104578,0.020881632,0.00065913924,0.004414359,0.006424583,0.019443005,0.050672382,0.021642046,0.018895075,0.046097737,0.006580922,0.007919473,0.006021855,0.0011886004,0.0035587787,0.000887202,0.049682684,0.0018337292,0.03137119,0.03783196,0.000259691,0.008060348,0.009859688,0.011415954,0.00815395,0.002619975,0.00085247774,0.0023318345,0.003472812,0.0014642404,0.0055717183
0,12,classical,0.0015964304,0.0054641804,0.019964248,0.014737792,0.00103863,0.0075391415,0.0017123977,0.005992153,0.0055083595,0.0055067823,0.011272333,0.012100694,0.006435443,0.009306222,0.0023729978,0.0030862617,0.035648968,0.012124818,0.04875552,0.006543535,0.0012586424,0.020100545,0.0043891845,0.0014667141,0.0035848918,0.0011913333,0.03737933,0.00039792547,0.00087838847,0.0030079703,0.025203804,0.011331476,0.006547172,0.0025674037,0.029072935,0.013857066,0.004552326,0.0021399108,0.003371132,0.008600524,0.0014225785,0.033828154,0.0059106546,0.009655546,0.0073321117,0.00071131473,0.0013474603,0.0027327505,0.014184288,0.017548112,0.006178641,0.0024597358,0.0005443702,0.002808633,0.0051326496,0.023555748
0,13,classical,0.0013050846,0.0037827108,0.01503784,0.023240983,0.009646809,0.026891697,0.0011873025,0.005517494,0.0036801852,0.0134540275,0.0071547693,0.0394989,0.0067373808,0.01066624,0.004546524,0.0022384054,0.032200478,0.031651612,0.017860444,0.0031810738,0.00043719707,0.016251728,0.0026074888,0.0008193413,0.0027771853,0.0014454088,0.017563006,0.0003365669,0.0007869862,0.0059072035,0.017218659,0.027602172,0.022581622,0.019550063,0.037686877,0.013489681,0.0056529753,0.004266889,0.0013829323,0.0039581982,0.00060515135,0.08190591,0.001371074,0.029895205,0.033566326,0.0008755916,0.016416447,0.017140625,0.014448715,0.009524567,0.0019283951,0.0021139525,0.00015072398,0.004408602,0.0017704437,0.009674939
0,14,classical,0.0019535618,0.008623184,0.007315894,0.011301269,0.005096043,0.0036556793,0.0057448596,0.034620695,0.0028686982,0.0017292184,0.004138806,0.0072430563,0.00040326026,0.00828253,0.008058789,0.003018001,0.015511452,0.02055228,0.023602929,0.007512782,0.00045267172,0.028148,0.0051934635,0.00059242366,0.0023582478,0.00040089758,0.050868317,0.00017728357,0.005159471,0.0033013176,0.019894846,0.030831467,0.0055904184,0.0063095735,0.025159437,0.0060098707,0.003223526,0.0020213134,0.00065390184,0.005441517,0.00038912412,0.023477241,0.0014326471,0.014716357,0.014309558,0.0001462468,0.0012934518,0.0030689498,0.003206102,0.0027012352,0.0017591111,0.00045185687,0.0005859936,0.0013867947,0.0018925708,0.008147292
0,15,classical,0.008590142,0.024462124,0.01373737,0.016917348,0.007948624,0.0124210715,0.0063111885,0.045179334,0.0038918806,0.006891041,0.0055935844,0.032608885,0.0024052088,0.02527078,0.0228585,0.011653039,0.04016391,0.04630684,0.021767031,0.029845897,0.00097315427,0.092563145,0.0050063753,0.0011926908,0.0064090937,0.0011534832,0.022580292,0.00047943802,0.0051551065,0.0050725206,0.019402442,0.03381953,0.019230561,0.011487717,0.044043187,0.0063531017,0.014035853,0.007857443,0.0014306322,0.0042855213,0.0013079833,0.05745261,0.0034555588,0.030306142,0.029299922,0.000581986,0.009376981,0.009368932,0.015928417,0.011996568,0.0025876975,0.0012833861,0.0030773077,0.0040610596,0.0020010008,0.0076026167
0,16,classical,0.008925617,0.013011767,0.016643587,0.019404227,0.0012510737,0.009489862,0.0014384757,0.0035844743,0.005128371,0.009837977,0.00947051,0.04529771,0.022525916,0.019436104,0.0055223024,0.0074244533,0.038153034,0.019386224,0.06368966,0.024627905,0.0020735827,0.03928875,0.0051157554,0.00263912,0.005185185,0.0025229095,0.022615688,0.0022141268,0.0006703907,0.0031028532,0.019190133,0.014334626,0.008201462,0.003741279,0.04106355,0.009802354,0.010547827,0.0030258317,0.004805867,0.0062580532,0.0038895167,0.028779235,0.0066911546,0.011266334,0.0093295295,0.0011070679,0.0043569054,0.0034745797,0.028734226,0.035165694,0.011494167,0.006431408,0.0026028622,0.004550248,0.0052338294,0.012821871
0,17,classical,0.0028436466,0.006801622,0.014296426,0.036269173,0.024475783,0.045625575,0.0023908506,0.010977159,0.003145779,0.009899125,0.0068141217,0.04529921,0.0060062488,0.027359912,0.014460901,0.004492654,0.035022374,0.0801249,0.0097361365,0.006774106,0.00030384117,0.02970201,0.0019472704,0.0005411336,0.0015813202,0.000999187,0.013930515,0.00019332558,0.0017972831,0.011088519,0.022317288,0.03369807,0.043291055,0.04088979,0.035324372,0.011436438,0.009494763,0.014011707,0.0006490716,0.002756225,0.0002826858,0.14486499,0.00087047025,0.048881184,0.060794733,0.00033104562,0.032681115,0.03874969,0.016366422,0.011521441,0.0013145454,0.0013019621,0.0005418822,0.005557689,0.00077794585,0.00604437
0,18,classical,0.005317882,0.010004801,0.033231873,0.01854271,0.00043172904,0.008038436,0.002447904,0.003844103,0.00873698,0.011050388,0.023629975,0.020156164,0.027529925,0.025302267,0.002976327,0.004518368,0.037505016,0.011485373,0.06791116,0.013333136,0.0019922329,0.032242108,0.005322692,0.0034472814,0.0034149738,0.0028418193,0.040536612,0.0004549222,0.00050778536,0.0024535344,0.02222904,0.006783943,0.0034499248,0.0015850314,0.03127594,0.013792691,0.010452275,0.002573765,0.005849043,0.0097380215,0.0025408668,0.024042647,0.0093463175,0.009314227,0.0047413167,0.0026848784,0.0010246588,0.003044371,0.015771322,0.024535118,0.008373945,0.009398715,0.0011345586,0.003210703,0.009264096,0.028014038
0,19,classical,0.0016686274,0.006795758,0.009472282,0.018614013,0.0140844025,0.011517147,0.0032422137,0.03297683,0.0033479757,0.0063593993,0.0059757344,0.025321135,0.0014413608,0.010288142,0.007471131,0.0034967859,0.032560796,0.03023056,0.03425155,0.0052366303,0.0010668794,0.02333222,0.0070032086,0.001159323,0.008455704,0.0014935054,0.039698597,0.0009162988,0.005653354,0.0059657637,0.018432103,0.06291172,0.019960754,0.013717027,0.050031662,0.007955715,0.004863453,0.0035246643,0.0016800944,0.004651711,0.0018164944,0.039990615,0.002617381,0.023894912,0.030964168,0.00033823441,0.0063615055,0.008763144,0.010906308,0.0079718195,0.004033405,0.0013688789,0.0003530579,0.0042399378,0.002491835,0.009226772
0,20,classical,0.0050897542,0.020068705,0.016534805,0.026900792,0.017950745,0.01580692,0.008564349,0.0415936,0.0058045764,0.009463141,0.00720772,0.02064806,0.0019129791,0.018925508,0.023242181,0.010381395,0.03854827,0.053305864,0.024697173,0.021199327,0.0010789088,0.06884573,0.0075225444,0.0011468771,0.009052017,0.0021432473,0.03939994,0.00054964685,0.0061306995,0.011413442,0.032810222,0.06349313,0.025743356,0.025165983,0.054237984,0.013794333,0.008639206,0.007915525,0.0022223282,0.0088772895,0.0010775996,0.06996018,0.003590037,0.038020432,0.04759631,0.0006579822,0.005346488,0.015638834,0.014274129,0.0101988455,0.0023899102,0.0016511462,0.0018372053,0.005826276,0.0038845171,0.016336495
